Facility RPA,Facility WPA,Permit,Site Name,Permit Type,Site Category,Latitude,Longitude
South West,Bristol City,KP3937DU,Avonmouth Treatment Centre  EPR/KP3937DU,B01 : Hazardous Waste Incinerator,Incineration,51.50337588461242,-2.6943831783163246
South West,Bristol City,KP3937DU,Avonmouth Treatment Centre  EPR/KP3937DU,B01 : Hazardous Waste Incinerator,Incineration,51.50337588461242,-2.6943831783163246
South West,Bristol City,KP3937DU,Avonmouth Treatment Centre  EPR/KP3937DU,B01 : Hazardous Waste Incinerator,Incineration,51.50337588461242,-2.6943831783163246
South West,Bristol City,KP3937DU,Avonmouth Treatment Centre  EPR/KP3937DU,B01 : Hazardous Waste Incinerator,Incineration,51.50337588461242,-2.6943831783163246
South West,Bristol City,KP3937DU,Avonmouth Treatment Centre  EPR/KP3937DU,B01 : Hazardous Waste Incinerator,Incineration,51.50337588461242,-2.6943831783163246
South West,Bristol City,KP3937DU,Avonmouth Treatment Centre  EPR/KP3937DU,B01 : Hazardous Waste Incinerator,Incineration,51.50337588461242,-2.6943831783163246
South West,Bristol City,KP3937DU,Avonmouth Treatment Centre  EPR/KP3937DU,B01 : Hazardous Waste Incinerator,Incineration,51.50337588461242,-2.6943831783163246
South West,Bristol City,KP3937DU,Avonmouth Treatment Centre  EPR/KP3937DU,B01 : Hazardous Waste Incinerator,Incineration,51.50337588461242,-2.6943831783163246
South West,Bristol City,KP3937DU,Avonmouth Treatment Centre  EPR/KP3937DU,B01 : Hazardous Waste Incinerator,Incineration,51.50337588461242,-2.6943831783163246
South West,Bristol City,KP3937DU,Avonmouth Treatment Centre  EPR/KP3937DU,B01 : Hazardous Waste Incinerator,Incineration,51.50337588461242,-2.6943831783163246
South West,Bristol City,KP3937DU,Avonmouth Treatment Centre  EPR/KP3937DU,B01 : Hazardous Waste Incinerator,Incineration,51.50337588461242,-2.6943831783163246
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
South West,Bristol City,VP3130EF,Avonmouth Healthcare Waste Incinerator and Transfer Facility - EPR/VP3130EF,B02 : Clinical Waste Incinerator,Incineration,51.52173411996413,-2.691779806615204
